a,b,n,spread_median,spread_std,robust_sigma,opportunity_share,opportunity_share_oos,adf_stat,adf_p,half_life_is,half_life_oos,theta_is,theta_oos,reversion_yield,p_bh,discovery
AMISTAD_ALL,FERMI_ALL,14903,0.0,10.928830528367984,2.238725999999997,0.3125,0.21404607470364573,-11.411229451312899,7.24213277402908e-21,5.86054609047441,9.796786823182783,0.11827347995548912,0.07075250212852498,0.3819995552357771,2.2243693520232173e-20,True
FRONT_EC_CC1,NED_NEDIN_G2,14903,0.00999999999999801,2.0462131097794,0.20756400000000083,0.034892638036809816,0.10601655110713487,-11.408533651614492,7.347122107310517e-21,5.1992270581951106,11.09054629333185,0.13331735136810285,0.06249892135400918,0.03992208797129468,2.252958675369773e-20,True
BRA_AVR_CST1,HHGT_KENDAL,14903,0.16999999999999815,4.788132579512796,1.3343400000000032,0.11589340490797546,0.09170208007157235,-11.402260956863296,7.59742987805503e-21,5.987517258093946,5.045865302050298,0.11576537497623854,0.13736933886806238,0.22285363740642883,2.3184415047225996e-20,True
BRA_AVR1_CT2,HHGT_KENDAL,14903,0.16999999999999815,4.788132579512796,1.3343400000000032,0.11589340490797546,0.09170208007157235,-11.402260956863296,7.59742987805503e-21,5.987517258093946,5.045865302050298,0.11576537497623854,0.13736933886806238,0.22285363740642883,2.3184415047225996e-20,True
BRAUNIG_CC1,HHGT_KENDAL,14903,0.16999999999999815,4.788132579512796,1.3343400000000032,0.11589340490797546,0.09170208007157235,-11.402260956863296,7.59742987805503e-21,5.987517258093946,5.045871492920122,0.11576537497623854,0.13736917032716792,0.22285363740642883,2.3184415047225996e-20,True
CARBN_BSP_1,MCDLD_FCSBW1,14903,1.3299999999999983,8.249873971384597,3.0689820000000023,0.3027223926380368,0.06150749273093268,-11.396320755832168,7.842440311290528e-21,6.163469893079554,4.893922420957184,0.11246054456081993,0.14163428042743173,0.49793088199325936,2.3893554056299e-20,True
JKLP_SLR_RN,NUE_NUECESG9,14903,0.019999999999999574,1.12981462061226,0.25204199999999727,0.01111963190184049,0.03914113173786625,-11.393346626272027,7.968106476914988e-21,3.666432145310297,2.926405267026374,0.1890522320034053,0.2368595998544922,0.06874312410837388,2.4237391405664238e-20,True
ETCCS_CCU,LZ_NORTH,14903,0.0,2.157140189894067,0.31134600000000123,0.049175613496932516,0.062625810780586,-11.392290333790863,8.013227823098579e-21,4.112070867922166,4.130094959866091,0.16856401623987413,0.1678283882805491,0.07571513478252011,2.432034705051523e-20,True
JKLP_SLR_RN,NUE_NUECESG8,14903,0.019999999999999962,1.133315382498309,0.25204199999999666,0.011215490797546012,0.03914113173786625,-11.39210696755865,8.021086976491281e-21,3.6201683807357634,2.926085534161677,0.1914682157461057,0.23688548146236327,0.0696216234971843,2.432034705051523e-20,True
FERMI_ALL,HAMI_BESS_RN,14903,0.0,10.88736798148913,2.1275310000000034,0.30684432515337423,0.21337508387385373,-11.390535952580414,8.08874247850189e-21,6.220954609359395,9.822962065502356,0.1114213531661377,0.07056396796992996,0.34199429727378877,2.448624123092092e-20,True
SHANNONW_RN,WNDTS2_UNIT1,14903,-0.11000000000000476,4.789514292476723,0.6968219999999904,0.12001533742331288,0.15857749944084099,-11.387727009917295,8.211154697727336e-21,7.138499887600052,4.375823457869304,0.09709983770735617,0.15840382667025046,0.09761462645820121,2.4817100140735014e-20,True
OECCS_2,OECCS_CC2,14903,0.0,0.01007926289028669,0.0,0.0,0.0,-11.382998097447832,8.42149693790064e-21,6.367159525281011,8.908953552339787,0.10886285757531003,0.07780343409444557,0.0,2.5343655486469918e-20,True
GPASTURE_ALL,TRINITY_ALL,14903,-0.21999999999999886,5.07355879063215,0.5337360000000018,0.06748466257668712,0.015880116305077165,-11.382907937747445,8.425559884242756e-21,14.93598949256344,7.42122376837691,0.04640785137838106,0.09340065765346717,0.03573489391283694,2.5343655486469918e-20,True
TRINITY_ALL,VERTIGO_UN1,14903,0.21999999999999886,5.073558790632146,0.5337360000000018,0.06748466257668712,0.015880116305077165,-11.382907937747424,8.425559884243962e-21,14.935989492563419,7.421223768376915,0.046407851378381125,0.0934006576534671,0.03573489391283699,2.5343655486469918e-20,True
NUE_NUECESG9,WHITE_PT_UN1,14903,-0.00999999999999801,1.0040416245349644,0.20756399999999556,0.008339723926380369,0.037799150078282266,-11.377047443140892,8.693965016490092e-21,3.5851103896112044,2.9161411530343893,0.19334054052241198,0.23769328855658833,0.05789612520759935,2.6104870751471126e-20,True
CHISMGRD_RN,DILEOS_UNIT1,14903,-0.25,7.378699836913535,1.9273799999999957,0.2111771472392638,0.2634757324983225,-11.376784199808947,8.70622275062277e-21,5.909608666913636,9.723340627766115,0.11729155340533737,0.07128693800776494,0.32614342313238026,2.6104870751471126e-20,True
FREC_1_CCU,FREC_CC2,14903,0.0,0.6128740844101053,0.02965200000001517,0.0,0.0,-11.376075010878218,8.739332875646656e-21,2.647345375166815,4.264059880547266,0.26182725800039164,0.16255568635940076,0.011200654164040359,2.61626863935498e-20,True
BCATWD_WD_1,GRSES_UNIT2,14903,-0.259999999999998,4.267133157546764,0.6671699999999989,0.08205521472392638,0.12726459405054796,-11.374374854540584,8.81922944299501e-21,10.680840636422172,7.67033615813394,0.06489631332914758,0.09036724939687336,0.062464184487962274,2.6360161305128846e-20,True
NUE_NUECESG8,WHITE_PT_UN1,14903,-0.00999999999999801,1.0074701746162003,0.20756399999999292,0.00843558282208589,0.037799150078282266,-11.370155621983175,9.020721063228026e-21,3.4891816700259937,2.9162164783148743,0.19865608790578723,0.237687148987128,0.059487874129078126,2.6919880523071645e-20,True
FREC_1_CCU,FREC_2_CCU,14903,0.0,0.6000653953222655,0.02965200000001517,0.0,0.0,-11.352662836894838,9.907139075233318e-21,2.6596404186898495,3.537997210325342,0.26061687726245064,0.19591512919712165,0.011148875536574178,2.9518593906049506e-20,True
ETCCS_CC1,MDANP_CT5_6,14903,0.0,2.1559636860567566,0.22239000000000841,0.041794478527607364,0.10400357861775889,-11.350606503522156,1.0016983009852037e-20,4.510217045012945,4.379569108905095,0.15368377478116596,0.158268350909351,0.04930804832239955,2.979894945698122e-20,True
VERTIGO_UN1,YNG_WND_ALL,14903,0.0,5.572939815126898,0.6671699999999936,0.08713573619631902,0.044061731156340864,-11.348812966479585,1.0113796663237411e-20,15.798212214417259,10.962658232202106,0.04387503922294369,0.06322802060214464,0.04223072781559057,2.999263838063508e-20,True
GPASTURE_ALL,YNG_WND_ALL,14903,0.0,5.572939815126898,0.6671699999999936,0.08713573619631902,0.044061731156340864,-11.348812966479585,1.0113796663237411e-20,15.798212214417259,10.962658232202106,0.04387503922294369,0.06322802060214464,0.04223072781559057,2.999263838063508e-20,True
AMADEUS_ALL,JADE_SLR_ALL,14903,0.060000000000002274,1.045348761132453,0.3854760000000076,0.0,0.0,-11.346128814248212,1.0260460012889426e-20,7.82026453999968,8.787055497580308,0.0886347484812801,0.07888275893452787,0.04929193865864074,3.037995359058966e-20,True
OR_BESS_RN,TAV_RN,14903,0.0,1.1364028589858317,0.01482599999999705,0.015049846625766871,0.025944978751957056,-11.3432240962326,1.0421605456768211e-20,7.111333175746618,7.263970977775841,0.09747077846442932,0.09542262526662522,0.0020848411449152036,3.080887113157102e-20,True
NCARBIDEG8,TUL_SLR_ALL,14903,-0.10000000000000142,4.578332543735283,1.5270780000000017,0.12931365030674846,0.08678148065309774,-11.33923958375,1.0646837028041632e-20,4.959508720452826,5.223927430306891,0.13976125854995125,0.1326869849949705,0.30790912690654015,3.128456610348748e-20,True
NCARBIDE_1_7,TUL_SLR_ALL,14903,-0.10000000000000142,4.578333804919138,1.5270780000000017,0.12931365030674846,0.08678148065309774,-11.339207722145527,1.0648657806895316e-20,4.95952959775342,5.223922972240404,0.13976067022040334,0.13268709822929733,0.30790783075309025,3.128456610348748e-20,True
NCARBID_PUN1,TUL_SLR_ALL,14903,-0.10000000000000142,4.578333804919138,1.5270780000000017,0.12931365030674846,0.08678148065309774,-11.339207722145527,1.0648657806895316e-20,4.95952959775342,5.223922972240404,0.13976067022040334,0.13268709822929733,0.30790783075309025,3.128456610348748e-20,True
NCARBID_PUN2,TUL_SLR_ALL,14903,-0.10000000000000142,4.578333804919138,1.5270780000000017,0.12931365030674846,0.08678148065309774,-11.339207722145527,1.0648657806895316e-20,4.95952959775342,5.223922972240404,0.13976067022040334,0.13268709822929733,0.30790783075309025,3.128456610348748e-20,True
BCATWD_WD_1,TRINITY_ALL,14903,-0.08000000000000185,3.6185745737732153,0.4299539999999987,0.06537576687116564,0.12234399463207336,-11.331904170407954,1.1074470616822468e-20,8.27584836931258,7.683330327362071,0.08375542296427071,0.09021441888180858,0.05195286100145309,3.2485113809345906e-20,True
GRSES_UNIT2,RN_APOGEE,14903,0.16000000000000014,5.7772940251722105,0.5485620000000014,0.08981978527607362,0.03377320509953031,-11.329833354760801,1.1198315335164134e-20,15.8326834375722,9.084488035042432,0.04377951364296545,0.07630008184128868,0.034647443193250534,3.276967210422426e-20,True
BOSQUESW_CC2,TNS_SLR_ALL,14903,-0.019999999999999685,2.148036015312697,0.2965199999999991,0.0339340490797546,0.13867143815701186,-11.329703641427816,1.1206119371793391e-20,3.4917681007131147,8.220606317391312,0.19850893890072072,0.08431825510163894,0.08491972875845953,3.276967210422426e-20,True
ANACACHO_ANA,HELIOS_RN,14903,1.0499999999999972,5.606054285956928,2.386985999999999,0.1843366564417178,0.07358532766718855,-11.323162031990872,1.1606920503040636e-20,4.596408514378985,3.435154104321016,0.15080190944550878,0.20178051974088976,0.5193154595664788,3.385483457030667e-20,True
FTR_CC1,THW_THWGT5X,14903,-0.03999999999999915,2.655096807017329,0.45960600000000335,0.061733128834355826,0.09349138895101768,-11.32306464953866,1.161299557934938e-20,7.443521264902929,6.256134460335075,0.09312087060571923,0.11079480227840574,0.06174577644684099,3.385483457030667e-20,True
RVRVLYS_ALL,WEBBER_WS_T1,14903,-0.07000000000000739,2.0467509277428464,0.29652000000000944,0.04246549079754601,0.07179601878774323,-11.320463746706176,1.1776447402157102e-20,4.101437867286318,6.114849169225876,0.16900101939580528,0.11335474700640831,0.07229659685085012,3.4278520745971136e-20,True
